2,Community Name,,Used For,Alternate Names/Spellings,Cultural Affiliations,Political Affiliations,Language(s),Treaty/Agreement/Settlement,Band #,Reserve/Settlement Name,Reserve/Settlement Location (NRCan),Source(s),Notes,Vetted by,Vetted date,,,,,,,,,,,,,,,
33,Atikameksheng Anishnawbek,,"Whitefish Lake First Nation
Whitefish Lake",Adikamegosheng Anishinaabeg,"Anishnabek
Ojibway","Assembly of First Nations
Chiefs of Ontario
Mamaweswen, North Shore Tribal Council","Anishinaabemowin
English",Robinson-Huron Treaty,224,Whitefish Lake 6,http://www4.rncan.gc.ca/search-place-names/unique/FETCB,"http://www.atikamekshenganishnawbek.ca/site/community/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=224
http://www.firstnation.ca/whitefish-lake","Official name changed from Whitefish Lake to the traditional name Atikameksheng Anishnawbek, October 2013.",Tim Knight,17Jan2019,,,,,,,,,,,,,,,
34,Atikamekw d'Opitciwan,,,Atikamekw of Opitciwan,Atikamekw,Conseil de la Nation Atikamekw,"Atikamekw
French",,79,Obedjiwan 28,http://www4.rncan.gc.ca/search-place-names/unique/ESKTA,"http://www.opitciwan.ca/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=79
https://www.aadnc-aandc.gc.ca/Mobile/Nations/profile_obedjlwan-eng.html",Existing authority at: http://id.loc.gov/authorities/names/no2015135500.html ; https://www.wikidata.org/wiki/Q27664348,Robin Desmeules,March 6/19,,,,,,,,,,,,,,,
35,Atikamekw de Manawan,,"Atikamekw de Manawan (First Nation)
Manouane",,Atikamekw,Conseil de la Nation Atikamekw,"Atikamekw
French",,78,Communauté Atikamekw de Manawan,http://www4.rncan.gc.ca/search-place-names/unique/EQTBL,"http://www.manawan.com/historique.cshtml
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=78
https://www.aadnc-aandc.gc.ca/Mobile/Nations/profile_manawan-eng.html",Existing authority at: 1) http://id.loc.gov/authorities/names/no2015135606.html; 2)https://www.wikidata.org/wiki/Q27666941,Robin Desmeules,May 11/19,,,,,,,,,,,,,,,
36,Atikamekw de Wemotaci,,"Weymontachie
Weymontachingue
Weomotaci
Montachene
Waimootansking
Weymontachingue
Warmontashingen
Warmontaching",,Atikamekw,Conseil de la Nation Atikamekw,"Atikamekw
French",,77,Communauté de Wemotaci ; Coucoucache 24A,http://www4.rncan.gc.ca/search-place-names/unique/ESKPW ; http://www4.rncan.gc.ca/search-place-names/unique/ESKQQ,"http://www.wemotaci.com/
https://www.aadnc-aandc.gc.ca/Mobile/Nations/profile_wemotaci-eng.html
https://www.facebook.com/pages/category/Organization/Conseil-des-Atikamekw-de-Wemotaci-314353115291216/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=77",Existing authority at: http://id.loc.gov/authorities/names/no2015135557.html ; https://www.wikidata.org/wiki/Q676581,Robin Desmeules,March 6/19,,,,,,,,,,,,,,,
37,Atikamekw Sipi,,,Conseil de la Nation Atikamekw,Atikamekw,,"Atikamekw
French",,n/a,,Quebec,"http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/TCMain.aspx?TC_NUMBER=1064
http://www.atikamekwsipi.com/fr",This is a tribal council: http://id.loc.gov/authorities/names/no2015158296.html,Robin Desmeules,March 6/19,,,,,,,,,,,,,,,
38,Attawapiskat First Nation,,"AFN (Attawapiskat First Nation)
Attawapiskat",,"Anishnabek
Ojibway","Nishnawbe-Aski Nation 
Mushkegowuk Council",English,Treaty 9,143,"Attawapiskat 91
Attawapiskat 91A","http://www4.rncan.gc.ca/search-place-names/unique/FESVK
http://www4.rncan.gc.ca/search-place-names/unique/FESVL","http://www.attawapiskat.org/
http://www.firstnation.ca/attawapiskat
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=143",,Tim Knight,19Jan2019,,,,,,,,,,,,,,,
39,Aundek Omni Kaning First Nation,,"Aundek-Omni-Kaning
Aundek Omni Kaning (Sucker Creek)
Ojibways of Sucker Creek",,"Anishnabek
Ojibway","Union of Ontario Indians
United Chiefs & Councils of Manitoulin Island","Ojibwemowin
English",Manitoulin Island Treaty,180,Sucker Creek 23,http://www4.rncan.gc.ca/search-place-names/unique/FESWZ,"http://www.aundeckomnikaningfn.com/
http://www.firstnation.ca/aundek-omni-kaning-sucker-creek
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=180",,Tim Knight,13Dec2018,,,,,,,,,,,,,,,
40,Aupaluk,,,ᐊᐅᐸᓗᒃ,Inuit,"Kativik Regional Government
Makivik Corporation","Inuktitut
English
French",James Bay/Northern Quebec,n/a,,"Nunavik, Quebec","http://www.makivik.org/aupaluk
http://www.makivik.org/our-communities
http://www.krg.ca/iu/home-iu/nunavik-maps","Aupaluk: ""where the earth is red"" ; wikidata: https://www.wikidata.org/wiki/Q2871828 ; http://id.loc.gov/authorities/names/no2015115910.html","Carol Rigby
(Tim Knight)",10Mar2019,,,,,,,,,,,,,,,
41,Baker Lake,,,"ᖃᒪᓂ'ᑐᐊᖅ
 ᖃᒪᓂᑦᑐᐊᖅ
 Qamani'tuaq",Inuit,"Hamlet, Kivalliq Region, NLCA",Kivalliq Inuktitut,Nunavut Land Claim Agreement (NLCA),n/a,,64°19′05″N 096°01′03″W Nunavut,"ICSP Toolkit Community Profiles http://www.buildingnunavut.com/en/communityprofiles/communityprofiles.asp
GN document ""Community_Name""
Wikipedia","Inuktitut name means ""where the river widens""",Carol Rigby,08Mar2019,,,,,,,,,,,,,,,
42,Bande des Innus de Pessamit,,"Betsiamites
Bersimis
Première Nation des Innus de Pessamit
Pessamit
Innus de Pessamit
Pessamit Innus
Bande des Innus de Pessamit
Band of the Innus of Pessamit
Pessamit First Nation",Pessamit Innu Band,Innu,Conseil Tribal Mamuitun,"Innu-aimun
French",,85,Betsiamites,#REF!,"http://www.nametauinnu.ca/en/culture/nation/detail/70
https://pessamit.org/a-propos/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=85",Existing authority at: 1) http://id.loc.gov/authorities/names/no2015135246.html ; 2) https://www.wikidata.org/wiki/Q27691829,Robin Desmeules (in progress) : I'm having a hard time picking English/French for the preferred name.,March 29/19,,,,,,,,,,,,,,,
